genome	pulid	contigid	start	end	pattern
MAG613	PUL1	gnl|HZI|MAG613_12	1846	9769	GH97-GH99-susD-susC
MAG613	PUL2	gnl|HZI|MAG613_12	40735	54529	CBM57;GH2-GH99-unk-unk-unk-susD-susC-unk-GH78
MAG613	PUL3	gnl|HZI|MAG613_13	13004	17909	susC-susD
MAG613	PUL4	gnl|HZI|MAG613_13	25192	54409	GH28;GH105-PL1_2-unk-unk-unk-unk-CE8-susC-susD-unk-unk-unk-GH28-GH57-GT4-GH133
MAG613	PUL5	gnl|HZI|MAG613_14	115	8860	susC-susD-GH105-GH31
MAG613	PUL6	gnl|HZI|MAG613_14	13770	18707	susC-susD
MAG613	PUL7	gnl|HZI|MAG613_16	27533	31979	susD-susC
MAG613	PUL8	gnl|HZI|MAG613_19	20377	41796	GH3-GH2-GH3-GH2-unk-unk-unk-unk-susD-susC
MAG613	PUL9	gnl|HZI|MAG613_26	28686	43276	GH3-GH3-unk-GH16-unk-susD-susC
MAG613	PUL10	gnl|HZI|MAG613_30	23141	32396	GH3-GH144-unk-susD-susC
MAG613	PUL11	gnl|HZI|MAG613_42	10225	26176	GH32-unk-susD-susC-unk-unk-unk-unk-GH32
MAG613	PUL12	gnl|HZI|MAG613_46	346	4923	susC-susD
MAG613	PUL13	gnl|HZI|MAG613_46	18819	24088	susC-susD
MAG613	PUL14	gnl|HZI|MAG613_5	64083	83868	susC-susD-GH106-unk-unk-unk-susC-unk-susC-susD
MAG613	PUL15	gnl|HZI|MAG613_54	16	4703	susC-susD
MAG613	PUL16	gnl|HZI|MAG613_6	47921	54225	GH30-susD-susC
MAG613	PUL17	gnl|HZI|MAG613_63	533	8233	susD-susC-PL10;CE8
MAG613	PUL18	gnl|HZI|MAG613_7	16	4318	susC-susD
