genome	pulid	contigid	start	end	pattern
MAG611	PUL1	gnl|HZI|MAG611_1	13463	17948	susC-susD
MAG611	PUL2	gnl|HZI|MAG611_14	17027	42475	GH43_5-GH43_4-susD-susC-susD-susC-unk-unk-unk-unk-GH13-GH13_13-GH97
MAG611	PUL3	gnl|HZI|MAG611_16	30693	35574	susC-susD
MAG611	PUL4	gnl|HZI|MAG611_29	8703	26405	susC-susD-susC-susD-unk-PL11
MAG611	PUL5	gnl|HZI|MAG611_32	18458	25074	GH5_21-susC-susD
MAG611	PUL6	gnl|HZI|MAG611_38	9171	20689	susC-susD-unk-unk-GH5_4
MAG611	PUL7	gnl|HZI|MAG611_39	15336	20357	susC-susD
MAG611	PUL8	gnl|HZI|MAG611_53	1727	14061	GH130-GH26-CE7-GH5_4-unk-susD-susC
MAG611	PUL9	gnl|HZI|MAG611_59	2804	13385	GH3-CE1-CE1-unk-susD-susC
MAG611	PUL10	gnl|HZI|MAG611_62	12607	17152	susD-susC
MAG611	PUL11	gnl|HZI|MAG611_64	11604	16738	susD-susC
MAG611	PUL12	gnl|HZI|MAG611_66	1065	5824	susD-susC
MAG611	PUL13	gnl|HZI|MAG611_68	888	11259	GH77-unk-unk-unk-susC-susD
MAG611	PUL14	gnl|HZI|MAG611_7	35922	40535	susC-susD
MAG611	PUL15	gnl|HZI|MAG611_96	110	10703	susC-susD-GH92-GH92
MAG611	PUL16	gnl|HZI|MAG611_99	979	11257	GH133-GT4-GH57-susC-susD
