genome	pulid	contigid	start	end	pattern
MAG612	PUL1	gnl|HZI|MAG612_12	42063	65327	susC-susC-susD-unk-unk-GH5_4-susC-susD-unk-GH3
MAG612	PUL2	gnl|HZI|MAG612_16	41992	56373	susC-susD-unk-unk-unk-GH5_4;GH26-unk-unk-unk-GH5_7
MAG612	PUL3	gnl|HZI|MAG612_2	29478	52170	GH2-GH53-unk-susD-susC-unk-unk-unk-susD-susC-PL1-PL1
MAG612	PUL4	gnl|HZI|MAG612_22	1928	13113	GH2-GH43_3-susD-susC-unk-GH43_31
MAG612	PUL5	gnl|HZI|MAG612_22	30149	45362	GH28-susC-susD-unk-unk-GH92-GH92
MAG612	PUL6	gnl|HZI|MAG612_32	28787	35962	GH16-unk-unk-susD-susC
MAG612	PUL7	gnl|HZI|MAG612_37	28366	33209	susD-susC
MAG612	PUL8	gnl|HZI|MAG612_40	1121	28244	GH43_10-unk-unk-unk-GH87-GH31-unk-unk-unk-unk-GH97-unk-unk-GH97-unk-unk-susD-susC
MAG612	PUL9	gnl|HZI|MAG612_42	14896	23611	susC-susD-unk-unk-GH28
MAG612	PUL10	gnl|HZI|MAG612_44	9611	18631	susD-susC-unk-GT2_Glycos_transf_2-GT4
MAG612	PUL11	gnl|HZI|MAG612_45	5135	9952	susD-susC
MAG612	PUL12	gnl|HZI|MAG612_46	23421	27902	susD-susC
MAG612	PUL13	gnl|HZI|MAG612_5	56346	90958	susD-susC-unk-unk-unk-unk-susC-susD-unk-GH10-unk-susD-susC-unk-GH67-unk-unk-unk-GH10-GH43_1
MAG612	PUL14	gnl|HZI|MAG612_62	12	5204	susD-susC-susC
MAG612	PUL15	gnl|HZI|MAG612_70	2284	13839	susC-susD-GH43_24-unk-GH105-GH127
MAG612	PUL16	gnl|HZI|MAG612_72	5650	10288	susC-susD
MAG612	PUL17	gnl|HZI|MAG612_76	5320	10257	susC-susD
MAG612	PUL18	gnl|HZI|MAG612_9	40121	73193	GH3-susD-susC-unk-CE6;CE1-unk-GH43-GH10-unk-susD-unk-susD-susC-GH5_21
