genome	pulid	protein_id	contig	start	end	strand	dist	protein_name	sus	hmm	active
MAG618	PUL1	MAG618_00042	gnl|HZI|MAG618_1	36489	38186	-	0	MAG618_00042	susD		
MAG618	PUL1	MAG618_00043	gnl|HZI|MAG618_1	38223	41213	-	37	MAG618_00043	susC		
MAG618	PUL2	MAG618_01750	gnl|HZI|MAG618_106	5024	6613	-	-36189	MAG618_01750	susD		
MAG618	PUL2	MAG618_01751	gnl|HZI|MAG618_106	6628	9876	-	15	MAG618_01751	susC		
MAG618	PUL3	MAG618_00514	gnl|HZI|MAG618_18	7602	10802	+	-2274	MAG618_00514	susC		
MAG618	PUL3	MAG618_00515	gnl|HZI|MAG618_18	10851	12485	+	49	MAG618_00515	susD		
MAG618	PUL4	MAG618_00091	gnl|HZI|MAG618_2	30831	33491	+	18346	MAG618_00091	susC		
MAG618	PUL4	MAG618_00092	gnl|HZI|MAG618_2	33778	37317	+	287	MAG618_00092	susC		
MAG618	PUL4	MAG618_00093	gnl|HZI|MAG618_2	37333	39222	+	16	MAG618_00093	susD		
MAG618	PUL5	MAG618_00592	gnl|HZI|MAG618_21	16686	19811	+	-22536	MAG618_00592	susC		
MAG618	PUL5	MAG618_00593	gnl|HZI|MAG618_21	19853	21919	+	42	MAG618_00593	susD		
MAG618	PUL5	MAG618_00594	gnl|HZI|MAG618_21	21966	22994	+	47	MAG618_00594			
MAG618	PUL5	MAG618_00595	gnl|HZI|MAG618_21	23094	25142	+	100	MAG618_00595		GH146	
MAG618	PUL6	MAG618_00724	gnl|HZI|MAG618_27	9526	12513	+	-15616	MAG618_00724	susC		
MAG618	PUL6	MAG618_00725	gnl|HZI|MAG618_27	12540	14279	+	27	MAG618_00725	susD		
MAG618	PUL6	MAG618_00726	gnl|HZI|MAG618_27	14337	15533	+	58	MAG618_00726			
MAG618	PUL6	MAG618_00727	gnl|HZI|MAG618_27	15558	16973	+	25	MAG618_00727			
MAG618	PUL6	MAG618_00728	gnl|HZI|MAG618_27	17186	19813	+	213	MAG618_00728		GH31	
MAG618	PUL6	MAG618_00729	gnl|HZI|MAG618_27	19864	21273	+	51	MAG618_00729			
MAG618	PUL6	MAG618_00730	gnl|HZI|MAG618_27	21516	23534	+	243	MAG618_00730		GH66	
MAG618	PUL7	MAG618_00759	gnl|HZI|MAG618_29	9707	11419	-	-13827	MAG618_00759	susD		
MAG618	PUL7	MAG618_00760	gnl|HZI|MAG618_29	11469	14852	-	50	MAG618_00760	susC		
MAG618	PUL8	MAG618_00796	gnl|HZI|MAG618_31	15333	17717	-	481	MAG618_00796		GH3	
MAG618	PUL8	MAG618_00797	gnl|HZI|MAG618_31	17820	17930	+	103	MAG618_00797			
MAG618	PUL8	MAG618_00798	gnl|HZI|MAG618_31	17915	19501	-	-15	MAG618_00798	susD		
MAG618	PUL8	MAG618_00799	gnl|HZI|MAG618_31	19594	22695	-	93	MAG618_00799	susC		
MAG618	PUL9	MAG618_00836	gnl|HZI|MAG618_33	19448	22816	+	-3247	MAG618_00836	susC		
MAG618	PUL9	MAG618_00837	gnl|HZI|MAG618_33	23102	24871	+	286	MAG618_00837	susD		
MAG618	PUL10	MAG618_00884	gnl|HZI|MAG618_36	15448	17646	+	-9423	MAG618_00884		GH36	
MAG618	PUL10	MAG618_00885	gnl|HZI|MAG618_36	17790	18293	+	144	MAG618_00885			
