genome	pulid	contigid	start	end	pattern
MAG610	PUL1	gnl|HZI|MAG610_1	19241	33418	susC-susD-unk-unk-GH5_4-GH5_4-GH5_7
MAG610	PUL2	gnl|HZI|MAG610_1	134219	144876	GH35-GH30_4-GH30_4-susD-susC
MAG610	PUL3	gnl|HZI|MAG610_10	19230	36199	GH5_21-susC-CE6;CE1-susC-susD-GH43_2;GH8-unk-GH43_7-GH3
MAG610	PUL4	gnl|HZI|MAG610_12	5984	41824	susD-susC-unk-unk-GH77-GH97-GH13_13-GH13-unk-susC-susD-unk-GH43_4-GH43_5-unk-unk-unk-GH51
MAG610	PUL5	gnl|HZI|MAG610_13	50427	60232	susC-susD-unk-GH53-GH2
MAG610	PUL6	gnl|HZI|MAG610_16	25229	33481	GH20-susD-susC-GH33
MAG610	PUL7	gnl|HZI|MAG610_2	107319	119618	susD-susC-unk-unk-unk-unk-GH29
MAG610	PUL8	gnl|HZI|MAG610_30	891	5642	susD-susC
MAG610	PUL9	gnl|HZI|MAG610_37	25	18594	susC-susD-unk-unk-GH67-unk-unk-unk-GH10-GH43_1
MAG610	PUL10	gnl|HZI|MAG610_41	973	19102	GH2-GH105-unk-GH43_24-unk-susD-susC-susD-susC
MAG610	PUL11	gnl|HZI|MAG610_46	9354	15998	susC-susD-GH32
MAG610	PUL12	gnl|HZI|MAG610_47	3005	16322	GH92-GH92-unk-susD-susC-GH28
MAG610	PUL13	gnl|HZI|MAG610_5	25	4539	susC-susD
MAG610	PUL14	gnl|HZI|MAG610_52	15343	20339	susD-susC
MAG610	PUL15	gnl|HZI|MAG610_58	3471	7829	susC-susD
MAG610	PUL16	gnl|HZI|MAG610_6	6499	11139	susD-susC
MAG610	PUL17	gnl|HZI|MAG610_7	78754	83529	susC-susD
MAG610	PUL18	gnl|HZI|MAG610_77	702	5322	susD-susC
MAG610	PUL19	gnl|HZI|MAG610_9	44215	57254	susD-susC-unk-unk-susD-susC
