genome	pulid	contigid	start	end	pattern
MAG615	PUL1	gnl|HZI|MAG615_1	60285	65293	susD-susC
MAG615	PUL2	gnl|HZI|MAG615_1	67293	72342	susC-susD
MAG615	PUL3	gnl|HZI|MAG615_107	2286	7535	susC-susD
MAG615	PUL4	gnl|HZI|MAG615_11	25331	32671	GH36-susD-susC
MAG615	PUL5	gnl|HZI|MAG615_116	2527	7197	susD-susC
MAG615	PUL6	gnl|HZI|MAG615_135	462	5241	susD-susC
MAG615	PUL7	gnl|HZI|MAG615_146	499	3551	susC-susD
MAG615	PUL8	gnl|HZI|MAG615_18	883	6091	susC-susD
MAG615	PUL9	gnl|HZI|MAG615_18	17550	31281	susC-susD-unk-unk-unk-susC
MAG615	PUL10	gnl|HZI|MAG615_23	11559	21283	GH27-unk-unk-unk-susC-susD
MAG615	PUL11	gnl|HZI|MAG615_32	2571	9122	GH13_36-susD-susC
MAG615	PUL12	gnl|HZI|MAG615_47	13380	18021	susC-susD
MAG615	PUL13	gnl|HZI|MAG615_48	5795	17423	susC-susD-GH32-unk-unk-unk-GH33
MAG615	PUL14	gnl|HZI|MAG615_53	10306	15047	susD-susC
MAG615	PUL15	gnl|HZI|MAG615_62	7137	12034	susD-susC
MAG615	PUL16	gnl|HZI|MAG615_75	3058	8221	susD-susC
MAG615	PUL17	gnl|HZI|MAG615_82	2362	11546	GH2-unk-unk-susD-susC
MAG615	PUL18	gnl|HZI|MAG615_86	6059	10645	susD-susC
MAG615	PUL19	gnl|HZI|MAG615_89	260	10224	GH3-GH16-unk-susD-susC
MAG615	PUL20	gnl|HZI|MAG615_9	29781	34742	susD-susC
MAG615	PUL21	gnl|HZI|MAG615_94	2399	7321	susC-susD
