genome	pulid	contigid	start	end	pattern
MAG594	PUL1	gnl|HZI|MAG594_11	28397	58905	GH106-GH2-GH2-GH137;GH2;CBM57-GH138-GH78-unk-GH141-GH127-unk-unk-susD-susC
MAG594	PUL2	gnl|HZI|MAG594_14	9856	14584	susD-susC
MAG594	PUL3	gnl|HZI|MAG594_30	189	5411	susD-susC
MAG594	PUL4	gnl|HZI|MAG594_33	24779	31718	GH43_9-susD-susC
MAG594	PUL5	gnl|HZI|MAG594_34	20402	25111	susC-susD
MAG594	PUL6	gnl|HZI|MAG594_44	25	4755	susC-susD
MAG594	PUL7	gnl|HZI|MAG594_49	7315	19692	GH3-GH3-GH16-unk-susD-susC
MAG594	PUL8	gnl|HZI|MAG594_56	8169	15330	susC-susD-GH32
MAG594	PUL9	gnl|HZI|MAG594_63	232	12467	susC-susD-unk-PL1_2-GH3
MAG594	PUL10	gnl|HZI|MAG594_78	259	5475	susC-susD
MAG594	PUL11	gnl|HZI|MAG594_8	1705	10007	GH10-unk-susD-susC
MAG594	PUL12	gnl|HZI|MAG594_8	32942	38495	susD-susC
