genome	pulid	protein_id	contig	start	end	strand	dist	protein_name	sus	hmm	active
MAG599	PUL1	MAG599_01663	gnl|HZI|MAG599_27	17817	18521	+	0	MAG599_01663		GT51	
MAG599	PUL1	MAG599_01664	gnl|HZI|MAG599_27	18591	21005	-	70	MAG599_01664			
MAG599	PUL1	MAG599_01665	gnl|HZI|MAG599_27	21159	21452	-	154	MAG599_01665			
MAG599	PUL1	MAG599_01666	gnl|HZI|MAG599_27	21465	23084	-	13	MAG599_01666			
MAG599	PUL1	MAG599_01667	gnl|HZI|MAG599_27	23234	24952	-	150	MAG599_01667	susD		
MAG599	PUL1	MAG599_01668	gnl|HZI|MAG599_27	24971	28396	-	19	MAG599_01668	susC		
MAG599	PUL2	MAG599_00267	gnl|HZI|MAG599_3	5320	8367	+	-23076	MAG599_00267	susC		
MAG599	PUL2	MAG599_00268	gnl|HZI|MAG599_3	8382	10139	+	15	MAG599_00268	susD		
MAG599	PUL2	MAG599_00269	gnl|HZI|MAG599_3	10161	12197	+	22	MAG599_00269			
MAG599	PUL2	MAG599_00270	gnl|HZI|MAG599_3	12200	13885	+	3	MAG599_00270			
MAG599	PUL2	MAG599_00271	gnl|HZI|MAG599_3	13917	15200	+	32	MAG599_00271			
MAG599	PUL2	MAG599_00272	gnl|HZI|MAG599_3	15290	16282	+	90	MAG599_00272		GH3	
MAG599	PUL3	MAG599_01778	gnl|HZI|MAG599_32	6252	9587	+	-10030	MAG599_01778	susC		
MAG599	PUL3	MAG599_01779	gnl|HZI|MAG599_32	9620	11335	+	33	MAG599_01779	susD		
MAG599	PUL4	MAG599_00700	gnl|HZI|MAG599_8	34919	38059	+	23584	MAG599_00700	susC		
MAG599	PUL4	MAG599_00701	gnl|HZI|MAG599_8	38081	39658	+	22	MAG599_00701	susD		
MAG599	PUL4	MAG599_00702	gnl|HZI|MAG599_8	39753	40685	+	95	MAG599_00702			
MAG599	PUL4	MAG599_00703	gnl|HZI|MAG599_8	40837	42000	+	152	MAG599_00703		GH16	
MAG599	PUL4	MAG599_00704	gnl|HZI|MAG599_8	42007	42876	+	7	MAG599_00704		GH16	
MAG599	PUL4	MAG599_00705	gnl|HZI|MAG599_8	42898	45135	+	22	MAG599_00705		GH3	
MAG599	PUL4	MAG599_00706	gnl|HZI|MAG599_8	45149	46678	+	14	MAG599_00706		GH128	
MAG599	PUL4	MAG599_00707	gnl|HZI|MAG599_8	46944	48203	+	266	MAG599_00707			
MAG599	PUL4	MAG599_00708	gnl|HZI|MAG599_8	48456	49430	-	253	MAG599_00708			
MAG599	PUL4	MAG599_00709	gnl|HZI|MAG599_8	49585	52494	-	155	MAG599_00709	susC		
MAG599	PUL4	MAG599_00710	gnl|HZI|MAG599_8	52616	54445	+	122	MAG599_00710			
MAG599	PUL4	MAG599_00711	gnl|HZI|MAG599_8	54452	55027	+	7	MAG599_00711			
MAG599	PUL4	MAG599_00712	gnl|HZI|MAG599_8	55148	56515	+	121	MAG599_00712			
MAG599	PUL4	MAG599_00713	gnl|HZI|MAG599_8	56781	57104	+	266	MAG599_00713			
MAG599	PUL4	MAG599_00714	gnl|HZI|MAG599_8	57418	60612	+	314	MAG599_00714	susC		
