genome	pulid	protein_id	contig	start	end	strand	dist	protein_name	sus	hmm	active
MAG609	PUL1	MAG609_00939	gnl|HZI|MAG609_14	43773	46946	+	0	MAG609_00939	susC		
MAG609	PUL1	MAG609_00940	gnl|HZI|MAG609_14	46965	48665	+	19	MAG609_00940	susD		
MAG609	PUL1	MAG609_00941	gnl|HZI|MAG609_14	48692	50593	+	27	MAG609_00941			
MAG609	PUL1	MAG609_00942	gnl|HZI|MAG609_14	50622	52748	+	29	MAG609_00942			
MAG609	PUL1	MAG609_00943	gnl|HZI|MAG609_14	52779	54593	+	31	MAG609_00943		GH5_4	
MAG609	PUL2	MAG609_01012	gnl|HZI|MAG609_16	26931	29627	+	-27662	MAG609_01012	susC		
MAG609	PUL2	MAG609_01013	gnl|HZI|MAG609_16	29640	31322	+	13	MAG609_01013	susD		
MAG609	PUL2	MAG609_01014	gnl|HZI|MAG609_16	31495	32583	+	173	MAG609_01014			
MAG609	PUL2	MAG609_01015	gnl|HZI|MAG609_16	32635	33273	+	52	MAG609_01015			
MAG609	PUL2	MAG609_01017	gnl|HZI|MAG609_16	33708	35813	+	435	MAG609_01017	susC		
MAG609	PUL3	MAG609_00226	gnl|HZI|MAG609_2	84566	87643	+	48753	MAG609_00226	susC		
MAG609	PUL3	MAG609_00227	gnl|HZI|MAG609_2	87666	89123	+	23	MAG609_00227	susD		
MAG609	PUL4	MAG609_01221	gnl|HZI|MAG609_21	14412	16082	-	-74711	MAG609_01221		GH43_12	
MAG609	PUL4	MAG609_01222	gnl|HZI|MAG609_21	16290	20396	-	208	MAG609_01222			
MAG609	PUL4	MAG609_01223	gnl|HZI|MAG609_21	20873	22267	+	477	MAG609_01223		GH5_21	
MAG609	PUL4	MAG609_01224	gnl|HZI|MAG609_21	22389	25535	+	122	MAG609_01224	susC		
MAG609	PUL4	MAG609_01225	gnl|HZI|MAG609_21	25555	27519	+	20	MAG609_01225	susD		
MAG609	PUL4	MAG609_01226	gnl|HZI|MAG609_21	27559	30426	+	40	MAG609_01226	susC		
MAG609	PUL4	MAG609_01227	gnl|HZI|MAG609_21	30449	32263	+	23	MAG609_01227	susD		
MAG609	PUL4	MAG609_01228	gnl|HZI|MAG609_21	32275	33348	+	12	MAG609_01228			
MAG609	PUL4	MAG609_01229	gnl|HZI|MAG609_21	33397	35565	+	49	MAG609_01229		GH10	
MAG609	PUL5	MAG609_01283	gnl|HZI|MAG609_23	5415	7094	-	-30150	MAG609_01283	susD		
MAG609	PUL5	MAG609_01284	gnl|HZI|MAG609_23	7116	10160	-	22	MAG609_01284	susC		
MAG609	PUL5	MAG609_01285	gnl|HZI|MAG609_23	10199	10414	-	39	MAG609_01285			
MAG609	PUL5	MAG609_01286	gnl|HZI|MAG609_23	10527	11528	+	113	MAG609_01286			
MAG609	PUL5	MAG609_01287	gnl|HZI|MAG609_23	11628	12962	+	100	MAG609_01287			
MAG609	PUL5	MAG609_01288	gnl|HZI|MAG609_23	13140	15815	+	178	MAG609_01288		GH77	
MAG609	PUL5	MAG609_01289	gnl|HZI|MAG609_23	15994	18129	+	179	MAG609_01289		GH97	
MAG609	PUL5	MAG609_01290	gnl|HZI|MAG609_23	18261	20213	+	132	MAG609_01290		GH13_13	
MAG609	PUL5	MAG609_01291	gnl|HZI|MAG609_23	20240	22165	+	27	MAG609_01291		GH13	
MAG609	PUL6	MAG609_01297	gnl|HZI|MAG609_23	27989	31078	+	5824	MAG609_01297	susC		
MAG609	PUL6	MAG609_01298	gnl|HZI|MAG609_23	31106	32902	+	28	MAG609_01298	susD		
MAG609	PUL6	MAG609_01299	gnl|HZI|MAG609_23	32924	36175	+	22	MAG609_01299	susC		
MAG609	PUL6	MAG609_01300	gnl|HZI|MAG609_23	36197	38023	+	22	MAG609_01300	susD		
MAG609	PUL6	MAG609_01301	gnl|HZI|MAG609_23	38125	40806	+	102	MAG609_01301		GH43_4	
