genome	pulid	protein_id	contig	start	end	strand	dist	protein_name	sus	hmm	active
MAG592	PUL1	MAG592_00956	gnl|HZI|MAG592_14	29058	32054	+	0	MAG592_00956	susC		
MAG592	PUL1	MAG592_00957	gnl|HZI|MAG592_14	32087	33913	+	33	MAG592_00957	susD		
MAG592	PUL1	MAG592_00958	gnl|HZI|MAG592_14	33942	35051	+	29	MAG592_00958			
MAG592	PUL1	MAG592_00959	gnl|HZI|MAG592_14	35101	36264	+	50	MAG592_00959			
MAG592	PUL1	MAG592_00960	gnl|HZI|MAG592_14	36272	37648	+	8	MAG592_00960		GH13	
MAG592	PUL1	MAG592_00961	gnl|HZI|MAG592_14	37653	39224	+	5	MAG592_00961		GH13	
MAG592	PUL2	MAG592_01100	gnl|HZI|MAG592_17	224	3376	+	-39000	MAG592_01100	susC		
MAG592	PUL2	MAG592_01101	gnl|HZI|MAG592_17	3392	5512	+	16	MAG592_01101	susD		
MAG592	PUL3	MAG592_01107	gnl|HZI|MAG592_17	8849	12004	+	3337	MAG592_01107	susC		
MAG592	PUL3	MAG592_01108	gnl|HZI|MAG592_17	12041	14059	+	37	MAG592_01108	susD		
MAG592	PUL3	MAG592_01109	gnl|HZI|MAG592_17	14119	16986	+	60	MAG592_01109	susC		
MAG592	PUL3	MAG592_01110	gnl|HZI|MAG592_17	17008	18753	+	22	MAG592_01110	susD		
MAG592	PUL3	MAG592_01111	gnl|HZI|MAG592_17	19013	19528	-	260	MAG592_01111			
MAG592	PUL3	MAG592_01112	gnl|HZI|MAG592_17	19993	22209	+	465	MAG592_01112	susC		
MAG592	PUL4	MAG592_01440	gnl|HZI|MAG592_25	4535	4981	+	-17674	MAG592_01440	susC		
MAG592	PUL4	MAG592_01441	gnl|HZI|MAG592_25	4963	7590	+	-18	MAG592_01441	susC		
MAG592	PUL4	MAG592_01442	gnl|HZI|MAG592_25	7651	9207	+	61	MAG592_01442	susD		
MAG592	PUL5	MAG592_01554	gnl|HZI|MAG592_27	44366	45955	-	35159	MAG592_01554	susD		
MAG592	PUL5	MAG592_01555	gnl|HZI|MAG592_27	45976	49281	-	21	MAG592_01555	susC		
MAG592	PUL6	MAG592_00198	gnl|HZI|MAG592_3	1045	2607	-	-48236	MAG592_00198	susD		
MAG592	PUL6	MAG592_00199	gnl|HZI|MAG592_3	2620	5898	-	13	MAG592_00199	susC		
MAG592	PUL7	MAG592_01805	gnl|HZI|MAG592_34	29101	30831	-	23203	MAG592_01805		GH30_4	
MAG592	PUL7	MAG592_01806	gnl|HZI|MAG592_34	30938	32566	-	107	MAG592_01806	susD		
MAG592	PUL7	MAG592_01807	gnl|HZI|MAG592_34	32586	35612	-	20	MAG592_01807	susC		
MAG592	PUL8	MAG592_01922	gnl|HZI|MAG592_39	5265	8354	+	-30347	MAG592_01922	susC		
MAG592	PUL8	MAG592_01923	gnl|HZI|MAG592_39	8397	10148	+	43	MAG592_01923	susD		
MAG592	PUL9	MAG592_00300	gnl|HZI|MAG592_4	41878	45249	+	31730	MAG592_00300	susC		
MAG592	PUL9	MAG592_00301	gnl|HZI|MAG592_4	45291	47042	+	42	MAG592_00301	susD		
MAG592	PUL9	MAG592_00302	gnl|HZI|MAG592_4	47058	49193	+	16	MAG592_00302			
MAG592	PUL9	MAG592_00303	gnl|HZI|MAG592_4	49219	50946	+	26	MAG592_00303			
MAG592	PUL9	MAG592_00304	gnl|HZI|MAG592_4	50943	54230	+	-3	MAG592_00304	susC		
MAG592	PUL9	MAG592_00305	gnl|HZI|MAG592_4	54243	56084	+	13	MAG592_00305	susD		
MAG592	PUL9	MAG592_00306	gnl|HZI|MAG592_4	56344	58011	+	260	MAG592_00306			
MAG592	PUL9	MAG592_00307	gnl|HZI|MAG592_4	58133	58786	+	122	MAG592_00307			
MAG592	PUL9	MAG592_00308	gnl|HZI|MAG592_4	58915	61578	+	129	MAG592_00308		CBM67;GH78	
MAG592	PUL9	MAG592_00309	gnl|HZI|MAG592_4	61736	63154	+	158	MAG592_00309		CE10	
MAG592	PUL10	MAG592_01961	gnl|HZI|MAG592_40	19177	22362	+	-43977	MAG592_01961	susC		
MAG592	PUL10	MAG592_01962	gnl|HZI|MAG592_40	22393	23874	+	31	MAG592_01962	susD		
MAG592	PUL11	MAG592_01988	gnl|HZI|MAG592_42	5507	8080	+	-18367	MAG592_01988		PL11	
MAG592	PUL11	MAG592_01989	gnl|HZI|MAG592_42	8115	8939	+	35	MAG592_01989			
MAG592	PUL11	MAG592_01990	gnl|HZI|MAG592_42	8964	12158	+	25	MAG592_01990	susC		
MAG592	PUL11	MAG592_01991	gnl|HZI|MAG592_42	12162	14216	+	4	MAG592_01991	susD		
MAG592	PUL11	MAG592_01992	gnl|HZI|MAG592_42	14256	17069	+	40	MAG592_01992	susC		
MAG592	PUL11	MAG592_01993	gnl|HZI|MAG592_42	17128	18882	+	59	MAG592_01993	susD		
MAG592	PUL11	MAG592_01994	gnl|HZI|MAG592_42	18882	21464	+	0	MAG592_01994		GH43_24;GH28	
MAG592	PUL11	MAG592_01995	gnl|HZI|MAG592_42	21802	24201	+	338	MAG592_01995		GH2	
MAG592	PUL11	MAG592_01996	gnl|HZI|MAG592_42	24198	24803	+	-3	MAG592_01996			
MAG592	PUL11	MAG592_01997	gnl|HZI|MAG592_42	24830	27358	+	27	MAG592_01997		GH106	
MAG592	PUL12	MAG592_00452	gnl|HZI|MAG592_6	35539	37017	+	8181	MAG592_00452	susC		
MAG592	PUL12	MAG592_00453	gnl|HZI|MAG592_6	37036	38691	+	19	MAG592_00453			
MAG592	PUL12	MAG592_00454	gnl|HZI|MAG592_6	39007	41031	+	316	MAG592_00454	susD		
MAG592	PUL12	MAG592_00455	gnl|HZI|MAG592_6	41079	43898	+	48	MAG592_00455	susC		
MAG592	PUL12	MAG592_00456	gnl|HZI|MAG592_6	44229	44333	+	331	MAG592_00456			
MAG592	PUL12	MAG592_00457	gnl|HZI|MAG592_6	44370	45983	+	37	MAG592_00457	susD		
MAG592	PUL13	MAG592_00534	gnl|HZI|MAG592_7	39719	42877	+	-6264	MAG592_00534	susC		
MAG592	PUL13	MAG592_00535	gnl|HZI|MAG592_7	42900	44537	+	23	MAG592_00535	susD		
