genome	pulid	contigid	start	end	pattern
MAG592	PUL1	gnl|HZI|MAG592_14	29058	39224	susC-susD-unk-unk-GH13-GH13
MAG592	PUL2	gnl|HZI|MAG592_17	224	5512	susC-susD
MAG592	PUL3	gnl|HZI|MAG592_17	8849	22209	susC-susD-susC-susD-unk-susC
MAG592	PUL4	gnl|HZI|MAG592_25	4535	9207	susC-susC-susD
MAG592	PUL5	gnl|HZI|MAG592_27	44366	49281	susD-susC
MAG592	PUL6	gnl|HZI|MAG592_3	1045	5898	susD-susC
MAG592	PUL7	gnl|HZI|MAG592_34	29101	35612	GH30_4-susD-susC
MAG592	PUL8	gnl|HZI|MAG592_39	5265	10148	susC-susD
MAG592	PUL9	gnl|HZI|MAG592_4	41878	63154	susC-susD-unk-unk-susC-susD-unk-unk-CBM67;GH78-CE10
MAG592	PUL10	gnl|HZI|MAG592_40	19177	23874	susC-susD
MAG592	PUL11	gnl|HZI|MAG592_42	5507	27358	PL11-unk-susC-susD-susC-susD-GH43_24;GH28-GH2-unk-GH106
MAG592	PUL12	gnl|HZI|MAG592_6	35539	45983	susC-unk-susD-susC-unk-susD
MAG592	PUL13	gnl|HZI|MAG592_7	39719	44537	susC-susD
