genome	pulid	contigid	start	end	pattern
MAG619	PUL1	gnl|HZI|MAG619_1	78792	89242	susC-susD-unk-PL8_2-GH88
MAG619	PUL2	gnl|HZI|MAG619_10	13717	30085	susD-susC-unk-unk-susC-susD-susC
MAG619	PUL3	gnl|HZI|MAG619_11	27516	35888	GT2_Glycos_transf_2-unk-unk-unk-susD-susC
MAG619	PUL4	gnl|HZI|MAG619_11	39631	44168	susC-susD
MAG619	PUL5	gnl|HZI|MAG619_13	14415	19321	susD-susC
MAG619	PUL6	gnl|HZI|MAG619_17	6444	10906	susD-susC
MAG619	PUL7	gnl|HZI|MAG619_17	20417	25207	susC-susD
MAG619	PUL8	gnl|HZI|MAG619_19	33803	38731	susC-susD
MAG619	PUL9	gnl|HZI|MAG619_2	82945	88175	susC-susD
MAG619	PUL10	gnl|HZI|MAG619_20	26303	30784	susD-susC
MAG619	PUL11	gnl|HZI|MAG619_21	934	5563	susC-unk-susC-susD
MAG619	PUL12	gnl|HZI|MAG619_21	25967	30679	susC-susD
MAG619	PUL13	gnl|HZI|MAG619_21	36731	41480	susC-susD
MAG619	PUL14	gnl|HZI|MAG619_27	21127	25611	susC-susD
MAG619	PUL15	gnl|HZI|MAG619_28	13148	22444	susD-susC-unk-GH32
MAG619	PUL16	gnl|HZI|MAG619_3	47520	65656	GH2-GH53-unk-susD-susC-unk-unk-PL8_2
MAG619	PUL17	gnl|HZI|MAG619_3	81883	91488	susD-susC-GH125-unk-GH92
MAG619	PUL18	gnl|HZI|MAG619_34	2643	15316	GH31-GH97-GH66-unk-susD-susC
MAG619	PUL19	gnl|HZI|MAG619_36	14300	19306	susC-susD
MAG619	PUL20	gnl|HZI|MAG619_37	13951	30457	susD-susC-unk-unk-GH77-GH97-GH13_13-GH13
MAG619	PUL21	gnl|HZI|MAG619_38	17844	29878	susD-susC-unk-unk-unk-PL8_3
MAG619	PUL22	gnl|HZI|MAG619_4	44774	49541	susD-susC
MAG619	PUL23	gnl|HZI|MAG619_48	3373	21298	GH92-unk-GH92-unk-unk-GH20-unk-unk-unk-susD-susC
MAG619	PUL24	gnl|HZI|MAG619_5	38584	43526	susD-susC
MAG619	PUL25	gnl|HZI|MAG619_50	848	8643	susD-susC-unk-GH20
MAG619	PUL26	gnl|HZI|MAG619_64	2179	13566	susC-susD-unk-susD-susC
MAG619	PUL27	gnl|HZI|MAG619_7	32227	37327	susC-susD
MAG619	PUL28	gnl|HZI|MAG619_7	48215	59543	GH16-susD-susC-susD-susC
MAG619	PUL29	gnl|HZI|MAG619_8	21841	26632	susD-susC
MAG619	PUL30	gnl|HZI|MAG619_8	55054	59940	susD-susC
MAG619	PUL31	gnl|HZI|MAG619_93	201	5421	susD-susC
