genome	pulid	protein_id	contig	start	end	strand	dist	protein_name	sus	hmm	active
MAG621	PUL1	MAG621_00616	gnl|HZI|MAG621_13	5488	6465	+	0	MAG621_00616		GH43_19	
MAG621	PUL1	MAG621_00617	gnl|HZI|MAG621_13	6752	10765	+	287	MAG621_00617			
MAG621	PUL1	MAG621_00618	gnl|HZI|MAG621_13	11201	12664	+	436	MAG621_00618			
MAG621	PUL1	MAG621_00619	gnl|HZI|MAG621_13	12701	15718	+	37	MAG621_00619	susC		
MAG621	PUL1	MAG621_00620	gnl|HZI|MAG621_13	15768	17384	+	50	MAG621_00620	susD		
MAG621	PUL1	MAG621_00621	gnl|HZI|MAG621_13	17609	19366	+	225	MAG621_00621		GH30_4	
MAG621	PUL1	MAG621_00622	gnl|HZI|MAG621_13	19390	20952	+	24	MAG621_00622		GH30_4	
MAG621	PUL1	MAG621_00623	gnl|HZI|MAG621_13	21046	23418	+	94	MAG621_00623		GH35	
MAG621	PUL2	MAG621_00631	gnl|HZI|MAG621_13	35440	37716	-	12022	MAG621_00631		GH3	
MAG621	PUL2	MAG621_00632	gnl|HZI|MAG621_13	37733	38812	-	17	MAG621_00632		GH16	
MAG621	PUL2	MAG621_00633	gnl|HZI|MAG621_13	38828	40699	-	16	MAG621_00633			
MAG621	PUL2	MAG621_00634	gnl|HZI|MAG621_13	40722	42248	-	23	MAG621_00634	susD		
MAG621	PUL2	MAG621_00635	gnl|HZI|MAG621_13	42301	45420	-	53	MAG621_00635	susC		
MAG621	PUL2	MAG621_00636	gnl|HZI|MAG621_13	45474	47723	-	54	MAG621_00636		GH3	
MAG621	PUL3	MAG621_00652	gnl|HZI|MAG621_14	17087	20296	+	-30636	MAG621_00652	susC		
MAG621	PUL3	MAG621_00653	gnl|HZI|MAG621_14	20318	21955	+	22	MAG621_00653	susD		
MAG621	PUL3	MAG621_00654	gnl|HZI|MAG621_14	22096	23022	+	141	MAG621_00654			
MAG621	PUL3	MAG621_00655	gnl|HZI|MAG621_14	23195	24637	-	173	MAG621_00655			
MAG621	PUL3	MAG621_00656	gnl|HZI|MAG621_14	24834	25973	+	197	MAG621_00656			
MAG621	PUL3	MAG621_00657	gnl|HZI|MAG621_14	26028	27635	+	55	MAG621_00657		GH63	
MAG621	PUL4	MAG621_00744	gnl|HZI|MAG621_17	3964	6933	+	-23671	MAG621_00744	susC		
MAG621	PUL4	MAG621_00745	gnl|HZI|MAG621_17	6963	8504	+	30	MAG621_00745	susD		
MAG621	PUL5	MAG621_00762	gnl|HZI|MAG621_17	31926	35672	+	23422	MAG621_00762		GH85	
MAG621	PUL5	MAG621_00763	gnl|HZI|MAG621_17	35833	39621	+	161	MAG621_00763		GH85	
MAG621	PUL5	MAG621_00764	gnl|HZI|MAG621_17	39782	43213	+	161	MAG621_00764	susC		
MAG621	PUL5	MAG621_00765	gnl|HZI|MAG621_17	43254	45101	+	41	MAG621_00765	susD		
MAG621	PUL6	MAG621_01059	gnl|HZI|MAG621_26	18124	19962	-	-26977	MAG621_01059	susD		
MAG621	PUL6	MAG621_01060	gnl|HZI|MAG621_26	20028	23300	-	66	MAG621_01060	susC		
MAG621	PUL7	MAG621_00150	gnl|HZI|MAG621_3	23024	24688	-	-276	MAG621_00150	susD		
MAG621	PUL7	MAG621_00151	gnl|HZI|MAG621_3	24712	27867	-	24	MAG621_00151	susC		
MAG621	PUL8	MAG621_01228	gnl|HZI|MAG621_32	15812	19018	+	-12055	MAG621_01228	susC		
MAG621	PUL8	MAG621_01229	gnl|HZI|MAG621_32	19055	20809	+	37	MAG621_01229	susD		
MAG621	PUL8	MAG621_01230	gnl|HZI|MAG621_32	20843	22567	+	34	MAG621_01230			
MAG621	PUL8	MAG621_01231	gnl|HZI|MAG621_32	22690	25380	+	123	MAG621_01231		GH43_4	
MAG621	PUL8	MAG621_01232	gnl|HZI|MAG621_32	25410	26435	+	30	MAG621_01232		GH43_5	
MAG621	PUL8	MAG621_01233	gnl|HZI|MAG621_32	26478	28916	+	43	MAG621_01233		GH51	
MAG621	PUL9	MAG621_01377	gnl|HZI|MAG621_39	10247	13276	+	-18669	MAG621_01377	susC		
MAG621	PUL9	MAG621_01378	gnl|HZI|MAG621_39	13299	15050	+	23	MAG621_01378	susD		
MAG621	PUL10	MAG621_01542	gnl|HZI|MAG621_47	9318	12008	+	-5732	MAG621_01542	susC		
MAG621	PUL10	MAG621_01543	gnl|HZI|MAG621_47	12049	13665	+	41	MAG621_01543	susD		
MAG621	PUL10	MAG621_01544	gnl|HZI|MAG621_47	13766	14488	-	101	MAG621_01544			
MAG621	PUL10	MAG621_01545	gnl|HZI|MAG621_47	14738	16177	-	250	MAG621_01545		GH57	
MAG621	PUL10	MAG621_01546	gnl|HZI|MAG621_47	16218	17489	-	41	MAG621_01546		GT4	
MAG621	PUL10	MAG621_01547	gnl|HZI|MAG621_47	17512	19458	-	23	MAG621_01547		GH133	
MAG621	PUL11	MAG621_01721	gnl|HZI|MAG621_56	634	2355	-	-18824	MAG621_01721	susD		
MAG621	PUL11	MAG621_01722	gnl|HZI|MAG621_56	2380	5469	-	25	MAG621_01722	susC		
MAG621	PUL11	MAG621_01723	gnl|HZI|MAG621_56	5724	6731	+	255	MAG621_01723			
MAG621	PUL11	MAG621_01724	gnl|HZI|MAG621_56	6799	8109	+	68	MAG621_01724			
MAG621	PUL11	MAG621_01725	gnl|HZI|MAG621_56	8158	10830	+	49	MAG621_01725		GH77	
MAG621	PUL11	MAG621_01726	gnl|HZI|MAG621_56	10878	13013	+	48	MAG621_01726		GH97	
MAG621	PUL11	MAG621_01727	gnl|HZI|MAG621_56	13051	14973	+	38	MAG621_01727		GH13_13	
