genome	pulid	protein_id	contig	start	end	strand	dist	protein_name	sus	hmm	active
MAG654	PUL1	MAG654_00030	gnl|HZI|MAG654_1	44985	48335	+	0	MAG654_00030	susC		
MAG654	PUL1	MAG654_00031	gnl|HZI|MAG654_1	48347	50065	+	12	MAG654_00031	susD		
MAG654	PUL1	MAG654_00032	gnl|HZI|MAG654_1	50101	52272	+	36	MAG654_00032			
MAG654	PUL1	MAG654_00033	gnl|HZI|MAG654_1	52298	53998	+	26	MAG654_00033			
MAG654	PUL1	MAG654_00034	gnl|HZI|MAG654_1	54026	57277	+	28	MAG654_00034			
MAG654	PUL1	MAG654_00035	gnl|HZI|MAG654_1	57289	59217	+	12	MAG654_00035	susD		
MAG654	PUL2	MAG654_01114	gnl|HZI|MAG654_11	89797	91260	-	30580	MAG654_01114	susD		
MAG654	PUL2	MAG654_01115	gnl|HZI|MAG654_11	91273	94542	-	13	MAG654_01115	susC		
MAG654	PUL3	MAG654_01179	gnl|HZI|MAG654_12	73414	75048	-	-21128	MAG654_01179	susD		
MAG654	PUL3	MAG654_01180	gnl|HZI|MAG654_12	75060	77834	-	12	MAG654_01180	susC		
MAG654	PUL4	MAG654_01305	gnl|HZI|MAG654_14	33023	34426	+	-44811	MAG654_01305		GH23	
MAG654	PUL4	MAG654_01306	gnl|HZI|MAG654_14	34430	38047	+	4	MAG654_01306			
MAG654	PUL4	MAG654_01307	gnl|HZI|MAG654_14	38065	38379	+	18	MAG654_01307			
MAG654	PUL4	MAG654_01308	gnl|HZI|MAG654_14	38645	39166	-	266	MAG654_01308			
MAG654	PUL4	MAG654_01309	gnl|HZI|MAG654_14	39346	41100	-	180	MAG654_01309			
MAG654	PUL4	MAG654_01310	gnl|HZI|MAG654_14	41108	44320	-	8	MAG654_01310	susC		
MAG654	PUL4	MAG654_01311	gnl|HZI|MAG654_14	44310	45902	-	-10	MAG654_01311			
MAG654	PUL4	MAG654_01312	gnl|HZI|MAG654_14	45920	47980	-	18	MAG654_01312			
MAG654	PUL4	MAG654_01313	gnl|HZI|MAG654_14	48002	49642	-	22	MAG654_01313	susD		
MAG654	PUL4	MAG654_01314	gnl|HZI|MAG654_14	49667	52975	-	25	MAG654_01314	susC		
MAG654	PUL5	MAG654_01349	gnl|HZI|MAG654_15	23325	25085	-	-29650	MAG654_01349	susD		
MAG654	PUL5	MAG654_01350	gnl|HZI|MAG654_15	25111	28191	-	26	MAG654_01350	susC		
MAG654	PUL6	MAG654_01504	gnl|HZI|MAG654_18	14611	17910	+	-13580	MAG654_01504	susC		
MAG654	PUL6	MAG654_01505	gnl|HZI|MAG654_18	17928	19463	+	18	MAG654_01505	susD		
