genome	pulid	protein_id	contig	start	end	strand	dist	protein_name	sus	hmm	active
MAG613	PUL1	MAG613_00807	gnl|HZI|MAG613_12	1846	3867	-	0	MAG613_00807		GH97	
MAG613	PUL1	MAG613_00808	gnl|HZI|MAG613_12	3915	5129	-	48	MAG613_00808		GH99	
MAG613	PUL1	MAG613_00809	gnl|HZI|MAG613_12	5253	6782	-	124	MAG613_00809	susD		
MAG613	PUL1	MAG613_00810	gnl|HZI|MAG613_12	6806	9769	-	24	MAG613_00810	susC		
MAG613	PUL2	MAG613_00837	gnl|HZI|MAG613_12	40735	43338	-	30966	MAG613_00837		CBM57;GH2	
MAG613	PUL2	MAG613_00838	gnl|HZI|MAG613_12	43365	45170	-	27	MAG613_00838		GH99	
MAG613	PUL2	MAG613_00839	gnl|HZI|MAG613_12	45167	46156	-	-3	MAG613_00839			
MAG613	PUL2	MAG613_00840	gnl|HZI|MAG613_12	46167	47699	-	11	MAG613_00840			
MAG613	PUL2	MAG613_00841	gnl|HZI|MAG613_12	47707	48309	-	8	MAG613_00841			
MAG613	PUL2	MAG613_00842	gnl|HZI|MAG613_12	48325	49782	-	16	MAG613_00842	susD		
MAG613	PUL2	MAG613_00843	gnl|HZI|MAG613_12	49794	52820	-	12	MAG613_00843	susC		
MAG613	PUL2	MAG613_00844	gnl|HZI|MAG613_12	52878	53201	-	58	MAG613_00844			
MAG613	PUL2	MAG613_00845	gnl|HZI|MAG613_12	53375	54529	-	174	MAG613_00845		GH78	
MAG613	PUL3	MAG613_00864	gnl|HZI|MAG613_13	13004	16099	+	-41525	MAG613_00864	susC		
MAG613	PUL3	MAG613_00865	gnl|HZI|MAG613_13	16137	17909	+	38	MAG613_00865	susD		
MAG613	PUL4	MAG613_00873	gnl|HZI|MAG613_13	25192	27765	+	7283	MAG613_00873		GH28;GH105	
MAG613	PUL4	MAG613_00874	gnl|HZI|MAG613_13	27792	29597	+	27	MAG613_00874		PL1_2	
MAG613	PUL4	MAG613_00875	gnl|HZI|MAG613_13	29860	31101	+	263	MAG613_00875			
MAG613	PUL4	MAG613_00876	gnl|HZI|MAG613_13	31307	31489	+	206	MAG613_00876			
MAG613	PUL4	MAG613_00877	gnl|HZI|MAG613_13	31492	32076	+	3	MAG613_00877			
MAG613	PUL4	MAG613_00878	gnl|HZI|MAG613_13	32236	32937	-	160	MAG613_00878			
MAG613	PUL4	MAG613_00879	gnl|HZI|MAG613_13	33393	37946	+	456	MAG613_00879		CE8	
MAG613	PUL4	MAG613_00880	gnl|HZI|MAG613_13	38153	41482	+	207	MAG613_00880	susC		
MAG613	PUL4	MAG613_00881	gnl|HZI|MAG613_13	41507	43483	+	25	MAG613_00881	susD		
MAG613	PUL4	MAG613_00882	gnl|HZI|MAG613_13	43503	45152	+	20	MAG613_00882			
MAG613	PUL4	MAG613_00883	gnl|HZI|MAG613_13	45305	46195	+	153	MAG613_00883			
MAG613	PUL4	MAG613_00884	gnl|HZI|MAG613_13	46308	47267	+	113	MAG613_00884			
MAG613	PUL4	MAG613_00885	gnl|HZI|MAG613_13	47575	49566	+	308	MAG613_00885		GH28	
MAG613	PUL4	MAG613_00886	gnl|HZI|MAG613_13	49674	51134	-	108	MAG613_00886		GH57	
MAG613	PUL4	MAG613_00887	gnl|HZI|MAG613_13	51180	52448	-	46	MAG613_00887		GT4	
MAG613	PUL4	MAG613_00888	gnl|HZI|MAG613_13	52466	54409	-	18	MAG613_00888		GH133	
MAG613	PUL5	MAG613_00895	gnl|HZI|MAG613_14	115	3099	+	-54294	MAG613_00895	susC		
MAG613	PUL5	MAG613_00896	gnl|HZI|MAG613_14	3124	4950	+	25	MAG613_00896	susD		
MAG613	PUL5	MAG613_00897	gnl|HZI|MAG613_14	5319	6521	+	369	MAG613_00897		GH105	
MAG613	PUL5	MAG613_00898	gnl|HZI|MAG613_14	6524	8860	+	3	MAG613_00898		GH31	
MAG613	PUL6	MAG613_00902	gnl|HZI|MAG613_14	13770	17159	+	4910	MAG613_00902	susC		
MAG613	PUL6	MAG613_00903	gnl|HZI|MAG613_14	17175	18707	+	16	MAG613_00903	susD		
MAG613	PUL7	MAG613_01029	gnl|HZI|MAG613_16	27533	28891	-	8826	MAG613_01029	susD		
MAG613	PUL7	MAG613_01030	gnl|HZI|MAG613_16	28956	31979	-	65	MAG613_01030	susC		
MAG613	PUL8	MAG613_01167	gnl|HZI|MAG613_19	20377	22857	-	-11602	MAG613_01167		GH3	
MAG613	PUL8	MAG613_01168	gnl|HZI|MAG613_19	22868	25333	-	11	MAG613_01168		GH2	
MAG613	PUL8	MAG613_01169	gnl|HZI|MAG613_19	25340	27547	-	7	MAG613_01169		GH3	
MAG613	PUL8	MAG613_01170	gnl|HZI|MAG613_19	27559	29361	-	12	MAG613_01170		GH2	
MAG613	PUL8	MAG613_01171	gnl|HZI|MAG613_19	29358	31397	-	-3	MAG613_01171			
MAG613	PUL8	MAG613_01172	gnl|HZI|MAG613_19	31424	33295	-	27	MAG613_01172			
MAG613	PUL8	MAG613_01173	gnl|HZI|MAG613_19	33309	34952	-	14	MAG613_01173			
MAG613	PUL8	MAG613_01174	gnl|HZI|MAG613_19	34972	36591	-	20	MAG613_01174			
MAG613	PUL8	MAG613_01175	gnl|HZI|MAG613_19	36656	38374	-	65	MAG613_01175	susD		
MAG613	PUL8	MAG613_01176	gnl|HZI|MAG613_19	38386	41796	-	12	MAG613_01176	susC		
MAG613	PUL9	MAG613_01476	gnl|HZI|MAG613_26	28686	30938	+	-13110	MAG613_01476		GH3	
MAG613	PUL9	MAG613_01477	gnl|HZI|MAG613_26	31132	33414	+	194	MAG613_01477		GH3	
MAG613	PUL9	MAG613_01478	gnl|HZI|MAG613_26	33792	35486	-	378	MAG613_01478			
MAG613	PUL9	MAG613_01479	gnl|HZI|MAG613_26	35758	36834	-	272	MAG613_01479		GH16	
MAG613	PUL9	MAG613_01480	gnl|HZI|MAG613_26	36913	38799	-	79	MAG613_01480			
MAG613	PUL9	MAG613_01481	gnl|HZI|MAG613_26	38819	40354	-	20	MAG613_01481	susD		
MAG613	PUL9	MAG613_01482	gnl|HZI|MAG613_26	40376	43276	-	22	MAG613_01482	susC		
MAG613	PUL10	MAG613_01611	gnl|HZI|MAG613_30	23141	25429	-	-20135	MAG613_01611		GH3	
MAG613	PUL10	MAG613_01612	gnl|HZI|MAG613_30	25444	26877	-	15	MAG613_01612		GH144	
