genome	pulid	contigid	start	end	pattern
MAG618	PUL1	gnl|HZI|MAG618_1	36489	41213	susD-susC
MAG618	PUL2	gnl|HZI|MAG618_106	5024	9876	susD-susC
MAG618	PUL3	gnl|HZI|MAG618_18	7602	12485	susC-susD
MAG618	PUL4	gnl|HZI|MAG618_2	30831	39222	susC-susC-susD
MAG618	PUL5	gnl|HZI|MAG618_21	16686	25142	susC-susD-unk-GH146
MAG618	PUL6	gnl|HZI|MAG618_27	9526	23534	susC-susD-unk-unk-GH31-unk-GH66
MAG618	PUL7	gnl|HZI|MAG618_29	9707	14852	susD-susC
MAG618	PUL8	gnl|HZI|MAG618_31	15333	22695	GH3-unk-susD-susC
MAG618	PUL9	gnl|HZI|MAG618_33	19448	24871	susC-susD
MAG618	PUL10	gnl|HZI|MAG618_36	15448	23989	GH36-unk-unk-susC-susD
MAG618	PUL11	gnl|HZI|MAG618_39	5621	14910	GH3-GH144-unk-susD-susC
MAG618	PUL12	gnl|HZI|MAG618_4	30066	36239	GH30-susD-susC
MAG618	PUL13	gnl|HZI|MAG618_53	3603	8336	susD-susC
MAG618	PUL14	gnl|HZI|MAG618_62	33	3066	susC-susD
MAG618	PUL15	gnl|HZI|MAG618_7	561	27605	GH92-GH130-unk-susC-susD-unk-GH38-GH76;CBM6
MAG618	PUL16	gnl|HZI|MAG618_73	5647	10903	susD-susC
MAG618	PUL17	gnl|HZI|MAG618_74	265	8432	GH76-unk-unk-susC-susD
MAG618	PUL18	gnl|HZI|MAG618_78	2194	7037	susC-susD
MAG618	PUL19	gnl|HZI|MAG618_79	8814	13711	susC-susD
MAG618	PUL20	gnl|HZI|MAG618_82	88	13869	GH2-unk-unk-GH32-unk-susD-susC
MAG618	PUL21	gnl|HZI|MAG618_99	5215	10246	susC-susD
