genome	pulid	protein_id	contig	start	end	strand	dist	protein_name	sus	hmm	active
MAG620	PUL1	MAG620_00497	gnl|HZI|MAG620_11	9318	12356	+	0	MAG620_00497	susC		
MAG620	PUL1	MAG620_00498	gnl|HZI|MAG620_11	12391	14073	+	35	MAG620_00498	susD		
MAG620	PUL2	MAG620_00903	gnl|HZI|MAG620_22	16069	17808	-	1996	MAG620_00903	susD		
MAG620	PUL2	MAG620_00904	gnl|HZI|MAG620_22	17859	20975	-	51	MAG620_00904	susC		
MAG620	PUL2	MAG620_00905	gnl|HZI|MAG620_22	21146	23374	-	171	MAG620_00905			
MAG620	PUL2	MAG620_00906	gnl|HZI|MAG620_22	23602	25326	+	228	MAG620_00906		GH32	
MAG620	PUL3	MAG620_01001	gnl|HZI|MAG620_25	23423	26797	-	-1903	MAG620_01001		GH2	
MAG620	PUL3	MAG620_01002	gnl|HZI|MAG620_25	26965	27294	+	168	MAG620_01002			
MAG620	PUL3	MAG620_01004	gnl|HZI|MAG620_25	27765	28862	-	471	MAG620_01004			
MAG620	PUL3	MAG620_01005	gnl|HZI|MAG620_25	28949	30100	-	87	MAG620_01005			
MAG620	PUL3	MAG620_01006	gnl|HZI|MAG620_25	30174	31808	-	74	MAG620_01006	susD		
MAG620	PUL3	MAG620_01007	gnl|HZI|MAG620_25	31840	34899	-	32	MAG620_01007	susC		
MAG620	PUL4	MAG620_00125	gnl|HZI|MAG620_3	1810	4098	-	-33089	MAG620_00125		GH92	
MAG620	PUL4	MAG620_00126	gnl|HZI|MAG620_3	4245	6350	+	147	MAG620_00126			
MAG620	PUL4	MAG620_00127	gnl|HZI|MAG620_3	6363	7073	+	13	MAG620_00127		GT2_Glycos_transf_2	
MAG620	PUL4	MAG620_00128	gnl|HZI|MAG620_3	7110	8018	+	37	MAG620_00128		GT2_Glycos_transf_2	
MAG620	PUL4	MAG620_00129	gnl|HZI|MAG620_3	8023	9108	+	5	MAG620_00129		GT4	
MAG620	PUL4	MAG620_00130	gnl|HZI|MAG620_3	9230	10420	-	122	MAG620_00130			
MAG620	PUL4	MAG620_00131	gnl|HZI|MAG620_3	10517	11407	-	97	MAG620_00131			
MAG620	PUL4	MAG620_00132	gnl|HZI|MAG620_3	11566	13173	-	159	MAG620_00132		GH63	
MAG620	PUL4	MAG620_00133	gnl|HZI|MAG620_3	13186	14331	-	13	MAG620_00133			
MAG620	PUL4	MAG620_00134	gnl|HZI|MAG620_3	14584	16875	+	253	MAG620_00134		GH20	
MAG620	PUL4	MAG620_00135	gnl|HZI|MAG620_3	16954	18405	+	79	MAG620_00135			
MAG620	PUL4	MAG620_00136	gnl|HZI|MAG620_3	18707	20362	-	302	MAG620_00136	susD		
MAG620	PUL4	MAG620_00137	gnl|HZI|MAG620_3	20384	23593	-	22	MAG620_00137	susC		
MAG620	PUL5	MAG620_01503	gnl|HZI|MAG620_46	17235	18770	-	-6358	MAG620_01503	susD		
MAG620	PUL5	MAG620_01504	gnl|HZI|MAG620_46	18817	21798	-	47	MAG620_01504	susC		
MAG620	PUL6	MAG620_01555	gnl|HZI|MAG620_49	9013	10629	-	-12785	MAG620_01555	susD		
MAG620	PUL6	MAG620_01556	gnl|HZI|MAG620_49	10670	13363	-	41	MAG620_01556	susC		
MAG620	PUL6	MAG620_01557	gnl|HZI|MAG620_49	13592	16423	+	229	MAG620_01557	susC		
MAG620	PUL7	MAG620_01764	gnl|HZI|MAG620_62	102	1793	+	-16321	MAG620_01764	susC		
MAG620	PUL7	MAG620_01765	gnl|HZI|MAG620_62	1817	3508	+	24	MAG620_01765	susD		
MAG620	PUL8	MAG620_01919	gnl|HZI|MAG620_75	2635	4470	-	-873	MAG620_01919	susD		
MAG620	PUL8	MAG620_01920	gnl|HZI|MAG620_75	4486	7782	-	16	MAG620_01920	susC		
MAG620	PUL9	MAG620_02017	gnl|HZI|MAG620_87	808	2487	-	-6974	MAG620_02017	susD		
MAG620	PUL9	MAG620_02018	gnl|HZI|MAG620_87	2539	5583	-	52	MAG620_02018	susC		
