genome	pulid	contigid	start	end	pattern
MAG593	PUL1	gnl|HZI|MAG593_106	3419	8048	susD-susC
MAG593	PUL2	gnl|HZI|MAG593_13	35990	40852	susC-susD
MAG593	PUL3	gnl|HZI|MAG593_22	22955	32294	GH3-unk-susD-susC-GH16
MAG593	PUL4	gnl|HZI|MAG593_28	10357	15199	susC-susD
MAG593	PUL5	gnl|HZI|MAG593_35	1787	7046	susC-susD
MAG593	PUL6	gnl|HZI|MAG593_37	1221	13031	GH95-unk-unk-susD-susC
MAG593	PUL7	gnl|HZI|MAG593_40	3711	8966	susC-susD
MAG593	PUL8	gnl|HZI|MAG593_40	10582	15638	susC-susD
MAG593	PUL9	gnl|HZI|MAG593_42	3351	16144	GH97-GH28-GH28-unk-susC-susD
MAG593	PUL10	gnl|HZI|MAG593_5	7980	19728	GH3-GH5_46-GH16-unk-susD-susC
MAG593	PUL11	gnl|HZI|MAG593_6	25708	30218	susD-susC
MAG593	PUL12	gnl|HZI|MAG593_6	32384	45576	susC-susD-unk-unk-unk-CBM67;GH78
MAG593	PUL13	gnl|HZI|MAG593_71	10184	15259	susD-susC
MAG593	PUL14	gnl|HZI|MAG593_90	4772	9980	susC-susD
