genome	pulid	contigid	start	end	pattern
MAG606	PUL1	gnl|HZI|MAG606_1	78502	100282	GH3-GH3-GH3-unk-susC-susD-unk-unk-GH5_25-GH3-CBM67;GH78
MAG606	PUL2	gnl|HZI|MAG606_11	20165	25214	susD-susC
MAG606	PUL3	gnl|HZI|MAG606_11	59845	65377	susD-susC
MAG606	PUL4	gnl|HZI|MAG606_12	4633	16040	susC-susD-unk-GH5_38-unk-unk-GH3
MAG606	PUL5	gnl|HZI|MAG606_14	9844	62604	CE6;CE1-GH115-unk-unk-susC-susD-GH78;CBM67-susC-susD-unk-unk-GH127-unk-GH128-unk-susD-susC-susD-susC-unk-unk-GH105-unk-GH43_24-CE1-GH3
MAG606	PUL6	gnl|HZI|MAG606_14	63182	81896	GH5_21-susC-susD-susC-susD-unk-GH10-unk-unk-GH43_12
MAG606	PUL7	gnl|HZI|MAG606_16	56541	65004	susC-susD-unk-GH9
MAG606	PUL8	gnl|HZI|MAG606_17	9716	21379	GH94-unk-unk-GH32-susD-susC
MAG606	PUL9	gnl|HZI|MAG606_2	1411	11697	susD-susC-susD-susC
MAG606	PUL10	gnl|HZI|MAG606_20	685	5995	susC-susD
MAG606	PUL11	gnl|HZI|MAG606_24	23645	39197	susC-susD-susC-susD-unk-GH43_4-GH43_5-GH51
MAG606	PUL12	gnl|HZI|MAG606_29	16399	26674	susC-susD-unk-GH16-GH3
MAG606	PUL13	gnl|HZI|MAG606_3	2013	10831	susD-susC-GH2
MAG606	PUL14	gnl|HZI|MAG606_3	59768	70673	GH63-GH2-unk-unk-susD-susC
MAG606	PUL15	gnl|HZI|MAG606_3	91945	116011	GH3-unk-GH43_1-GH10-unk-unk-unk-unk-GH67-GH35-susC-susD
MAG606	PUL16	gnl|HZI|MAG606_3	117059	121985	susC-susD
MAG606	PUL17	gnl|HZI|MAG606_3	139657	144570	susC-susD
MAG606	PUL18	gnl|HZI|MAG606_36	9499	17547	GH97-GH99-susD-susC
MAG606	PUL19	gnl|HZI|MAG606_4	37465	50777	GH5_7-unk-susC-susD-unk-GH5_4-CE7-GH26-GH130
MAG606	PUL20	gnl|HZI|MAG606_42	5484	10209	susD-susC
MAG606	PUL21	gnl|HZI|MAG606_43	4329	9080	susC-susD
MAG606	PUL22	gnl|HZI|MAG606_6	8329	16293	susC-susD-unk-GH43_10-GH28
MAG606	PUL23	gnl|HZI|MAG606_6	88300	105256	PL11-GH43_19-unk-unk-GH97-GH66-unk-susD-susC
MAG606	PUL24	gnl|HZI|MAG606_6	113084	126129	susC-susD-susC-susD-PL9-PL11
MAG606	PUL25	gnl|HZI|MAG606_7	17027	29578	GH127-CBM32;GH43-GH127-susC-susD
MAG606	PUL26	gnl|HZI|MAG606_7	41019	61911	GH13-unk-unk-susD-susC-unk-unk-GH77-GH97-GH13_13-GH13
MAG606	PUL27	gnl|HZI|MAG606_7	88748	125476	GT4-GT2_Glycos_transf_2-unk-GH142;GH143-GH78-unk-unk-susD-susC-unk-unk-unk-unk-GH95-GH140-GH33;CBM67;GH78-GH138-GH2;GH137;CBM57
MAG606	PUL28	gnl|HZI|MAG606_9	69213	82992	CE10-unk-unk-unk-unk-GH28-unk-susC-susD
