genome	pulid	protein_id	contig	start	end	strand	dist	protein_name	sus	hmm	active
MAG614	PUL1	MAG614_00029	gnl|HZI|MAG614_1	32230	35553	+	0	MAG614_00029	susC		
MAG614	PUL1	MAG614_00030	gnl|HZI|MAG614_1	35576	37171	+	23	MAG614_00030	susD		
MAG614	PUL2	MAG614_00562	gnl|HZI|MAG614_16	11997	15143	-	-25174	MAG614_00562		GH2	
MAG614	PUL2	MAG614_00563	gnl|HZI|MAG614_16	15159	17501	-	16	MAG614_00563		GH20	
MAG614	PUL2	MAG614_00564	gnl|HZI|MAG614_16	17538	19529	-	37	MAG614_00564			
MAG614	PUL2	MAG614_00565	gnl|HZI|MAG614_16	19564	20355	-	35	MAG614_00565			
MAG614	PUL2	MAG614_00566	gnl|HZI|MAG614_16	20421	21449	-	66	MAG614_00566			
MAG614	PUL2	MAG614_00567	gnl|HZI|MAG614_16	21818	23026	+	369	MAG614_00567			
MAG614	PUL2	MAG614_00568	gnl|HZI|MAG614_16	23127	24569	+	101	MAG614_00568		GH29	
MAG614	PUL2	MAG614_00569	gnl|HZI|MAG614_16	24579	24758	+	10	MAG614_00569			
MAG614	PUL2	MAG614_00570	gnl|HZI|MAG614_16	24769	27804	+	11	MAG614_00570	susC		
MAG614	PUL2	MAG614_00571	gnl|HZI|MAG614_16	27864	29735	+	60	MAG614_00571	susD		
MAG614	PUL3	MAG614_00831	gnl|HZI|MAG614_25	5615	6835	+	-24120	MAG614_00831		GT30	
MAG614	PUL3	MAG614_00832	gnl|HZI|MAG614_25	6994	7824	+	159	MAG614_00832			
MAG614	PUL3	MAG614_00833	gnl|HZI|MAG614_25	7830	9029	+	6	MAG614_00833			
MAG614	PUL3	MAG614_00834	gnl|HZI|MAG614_25	9225	12080	+	196	MAG614_00834			
MAG614	PUL3	MAG614_00835	gnl|HZI|MAG614_25	12095	15490	+	15	MAG614_00835	susC		
MAG614	PUL3	MAG614_00836	gnl|HZI|MAG614_25	15505	17271	+	15	MAG614_00836	susD		
MAG614	PUL3	MAG614_00837	gnl|HZI|MAG614_25	17277	19361	+	6	MAG614_00837			
MAG614	PUL3	MAG614_00838	gnl|HZI|MAG614_25	19373	21112	+	12	MAG614_00838			
MAG614	PUL3	MAG614_00839	gnl|HZI|MAG614_25	21143	24439	+	31	MAG614_00839	susC		
MAG614	PUL3	MAG614_00840	gnl|HZI|MAG614_25	24453	26249	+	14	MAG614_00840	susD		
MAG614	PUL4	MAG614_01205	gnl|HZI|MAG614_45	11719	14082	-	-14530	MAG614_01205	susD		
MAG614	PUL4	MAG614_01206	gnl|HZI|MAG614_45	14114	17425	-	32	MAG614_01206	susC		
MAG614	PUL5	MAG614_01228	gnl|HZI|MAG614_47	221	2548	+	-17204	MAG614_01228		GH95	
MAG614	PUL5	MAG614_01229	gnl|HZI|MAG614_47	2695	5793	+	147	MAG614_01229	susC		
MAG614	PUL5	MAG614_01230	gnl|HZI|MAG614_47	5823	7406	+	30	MAG614_01230	susD		
MAG614	PUL5	MAG614_01231	gnl|HZI|MAG614_47	7628	9328	+	222	MAG614_01231			
MAG614	PUL5	MAG614_01232	gnl|HZI|MAG614_47	9332	11725	+	4	MAG614_01232			
MAG614	PUL5	MAG614_01233	gnl|HZI|MAG614_47	11797	15774	+	72	MAG614_01233			
MAG614	PUL5	MAG614_01234	gnl|HZI|MAG614_47	15928	17892	+	154	MAG614_01234			
MAG614	PUL5	MAG614_01235	gnl|HZI|MAG614_47	17935	20076	+	43	MAG614_01235		GH36	
MAG614	PUL6	MAG614_01547	gnl|HZI|MAG614_69	10398	11828	-	-9678	MAG614_01547	susD		
MAG614	PUL6	MAG614_01548	gnl|HZI|MAG614_69	11862	14969	-	34	MAG614_01548	susC		
MAG614	PUL7	MAG614_01627	gnl|HZI|MAG614_75	1457	4501	+	-13512	MAG614_01627	susC		
MAG614	PUL7	MAG614_01628	gnl|HZI|MAG614_75	4522	6171	+	21	MAG614_01628	susD		
MAG614	PUL8	MAG614_00324	gnl|HZI|MAG614_8	11141	14440	-	4970	MAG614_00324	susC		
MAG614	PUL8	MAG614_00325	gnl|HZI|MAG614_8	14443	16146	-	3	MAG614_00325			
MAG614	PUL8	MAG614_00326	gnl|HZI|MAG614_8	16166	18253	-	20	MAG614_00326			
MAG614	PUL8	MAG614_00327	gnl|HZI|MAG614_8	18272	19999	-	19	MAG614_00327	susD		
MAG614	PUL8	MAG614_00328	gnl|HZI|MAG614_8	20033	23434	-	34	MAG614_00328	susC		
MAG614	PUL8	MAG614_00329	gnl|HZI|MAG614_8	23457	26270	-	23	MAG614_00329			
MAG614	PUL8	MAG614_00330	gnl|HZI|MAG614_8	26671	29430	-	401	MAG614_00330			
MAG614	PUL8	MAG614_00331	gnl|HZI|MAG614_8	29628	31076	-	198	MAG614_00331		CE10	
