genome	pulid	protein_id	contig	start	end	strand	dist	protein_name	sus	hmm	active
MAG633	PUL1	MAG633_01341	gnl|HZI|MAG633_19	14387	17134	-	0	MAG633_01341		GH87	
MAG633	PUL1	MAG633_01342	gnl|HZI|MAG633_19	17144	19195	-	10	MAG633_01342		GH97	
MAG633	PUL1	MAG633_01343	gnl|HZI|MAG633_19	19226	21061	-	31	MAG633_01343	susD		
MAG633	PUL1	MAG633_01344	gnl|HZI|MAG633_19	21098	24199	-	37	MAG633_01344	susC		
MAG633	PUL1	MAG633_01345	gnl|HZI|MAG633_19	24297	25214	-	98	MAG633_01345			
MAG633	PUL1	MAG633_01346	gnl|HZI|MAG633_19	25614	27590	+	400	MAG633_01346		GH87	
MAG633	PUL2	MAG633_00231	gnl|HZI|MAG633_2	80399	83407	+	52809	MAG633_00231	susC		
MAG633	PUL2	MAG633_00232	gnl|HZI|MAG633_2	83450	85033	+	43	MAG633_00232	susD		
MAG633	PUL3	MAG633_00319	gnl|HZI|MAG633_3	53875	56841	+	-31158	MAG633_00319	susC		
MAG633	PUL3	MAG633_00320	gnl|HZI|MAG633_3	56863	58371	+	22	MAG633_00320	susD		
MAG633	PUL3	MAG633_00321	gnl|HZI|MAG633_3	58393	59880	+	22	MAG633_00321		GH30	
MAG633	PUL3	MAG633_00322	gnl|HZI|MAG633_3	59908	61227	+	28	MAG633_00322			
MAG633	PUL3	MAG633_00323	gnl|HZI|MAG633_3	61243	63477	+	16	MAG633_00323		GH3	
MAG633	PUL4	MAG633_00478	gnl|HZI|MAG633_5	40615	43752	+	-22862	MAG633_00478	susC		
MAG633	PUL4	MAG633_00479	gnl|HZI|MAG633_5	43778	45373	+	26	MAG633_00479	susD		
MAG633	PUL4	MAG633_00480	gnl|HZI|MAG633_5	45505	46377	+	132	MAG633_00480			
MAG633	PUL4	MAG633_00481	gnl|HZI|MAG633_5	46724	48406	+	347	MAG633_00481		GH16	
MAG633	PUL4	MAG633_00482	gnl|HZI|MAG633_5	48447	49313	+	41	MAG633_00482		GH16	
MAG633	PUL4	MAG633_00483	gnl|HZI|MAG633_5	49330	51555	+	17	MAG633_00483		GH3	
MAG633	PUL4	MAG633_00484	gnl|HZI|MAG633_5	51572	52966	+	17	MAG633_00484		GH128	
MAG633	PUL5	MAG633_00729	gnl|HZI|MAG633_8	33466	35136	-	-19500	MAG633_00729	susD		
MAG633	PUL5	MAG633_00730	gnl|HZI|MAG633_8	35155	38262	-	19	MAG633_00730	susC		
