genome	pulid	protein_id	contig	start	end	strand	dist	protein_name	sus	hmm	active
MAG617	PUL1	MAG617_00008	gnl|HZI|MAG617_1	12836	15922	-	0	MAG617_00008	susC		
MAG617	PUL1	MAG617_00009	gnl|HZI|MAG617_1	15929	17695	-	7	MAG617_00009	susD		
MAG617	PUL1	MAG617_00010	gnl|HZI|MAG617_1	17718	20813	-	23	MAG617_00010	susC		
MAG617	PUL1	MAG617_00011	gnl|HZI|MAG617_1	20837	21883	-	24	MAG617_00011			
MAG617	PUL1	MAG617_00012	gnl|HZI|MAG617_1	21945	22409	-	62	MAG617_00012			
MAG617	PUL1	MAG617_00013	gnl|HZI|MAG617_1	22435	24297	-	26	MAG617_00013	susD		
MAG617	PUL1	MAG617_00014	gnl|HZI|MAG617_1	24395	26935	-	98	MAG617_00014		GH78	
MAG617	PUL1	MAG617_00015	gnl|HZI|MAG617_1	27008	29671	-	73	MAG617_00015		GH2	
MAG617	PUL1	MAG617_00016	gnl|HZI|MAG617_1	29776	32118	-	105	MAG617_00016		GH92	
MAG617	PUL1	MAG617_00017	gnl|HZI|MAG617_1	32164	34533	-	46	MAG617_00017		GH38	
MAG617	PUL2	MAG617_00704	gnl|HZI|MAG617_12	21813	23402	-	-12720	MAG617_00704		GH32	
MAG617	PUL2	MAG617_00705	gnl|HZI|MAG617_12	23516	24919	-	114	MAG617_00705			
MAG617	PUL2	MAG617_00706	gnl|HZI|MAG617_12	25004	26755	-	85	MAG617_00706	susD		
MAG617	PUL2	MAG617_00707	gnl|HZI|MAG617_12	26939	30043	-	184	MAG617_00707	susC		
MAG617	PUL3	MAG617_00753	gnl|HZI|MAG617_13	24055	26058	+	-5988	MAG617_00753		GH97	
MAG617	PUL3	MAG617_00754	gnl|HZI|MAG617_13	26237	26827	+	179	MAG617_00754			
MAG617	PUL3	MAG617_00755	gnl|HZI|MAG617_13	26821	27843	+	-6	MAG617_00755			
MAG617	PUL3	MAG617_00756	gnl|HZI|MAG617_13	27854	31423	+	11	MAG617_00756	susC		
MAG617	PUL3	MAG617_00757	gnl|HZI|MAG617_13	31451	33256	+	28	MAG617_00757	susD		
MAG617	PUL3	MAG617_00758	gnl|HZI|MAG617_13	33262	33657	+	6	MAG617_00758			
MAG617	PUL3	MAG617_00759	gnl|HZI|MAG617_13	33675	35141	+	18	MAG617_00759		GH31	
MAG617	PUL4	MAG617_00790	gnl|HZI|MAG617_14	12916	14964	-	-22225	MAG617_00790		GH13_7	
MAG617	PUL4	MAG617_00791	gnl|HZI|MAG617_14	14992	16884	-	28	MAG617_00791		GH13	
MAG617	PUL4	MAG617_00792	gnl|HZI|MAG617_14	16992	18884	-	108	MAG617_00792		GH13_13	
MAG617	PUL4	MAG617_00793	gnl|HZI|MAG617_14	18901	19053	-	17	MAG617_00793			
MAG617	PUL4	MAG617_00794	gnl|HZI|MAG617_14	19103	21805	-	50	MAG617_00794		GH77	
MAG617	PUL4	MAG617_00795	gnl|HZI|MAG617_14	21831	23129	-	26	MAG617_00795			
MAG617	PUL4	MAG617_00796	gnl|HZI|MAG617_14	23204	24229	-	75	MAG617_00796			
