genome	pulid	contigid	start	end	pattern
MAG622	PUL1	gnl|HZI|MAG622_14	14823	19400	susD-susC
MAG622	PUL2	gnl|HZI|MAG622_15	10479	15383	susC-susD
MAG622	PUL3	gnl|HZI|MAG622_24	2945	28455	GH2-CE12-CE12-PL11-PL11-unk-susD-susC-susD-susC
MAG622	PUL4	gnl|HZI|MAG622_25	8718	13925	susC-susD
MAG622	PUL5	gnl|HZI|MAG622_4	60836	75703	susD-susC-unk-unk-GH2-GH78;GH33;CBM67
MAG622	PUL6	gnl|HZI|MAG622_43	9449	23310	susC-unk-PL9-CE8-susC-susD
MAG622	PUL7	gnl|HZI|MAG622_48	14617	19513	susC-susD
MAG622	PUL8	gnl|HZI|MAG622_5	19399	26182	susC-susD-GH32
MAG622	PUL9	gnl|HZI|MAG622_54	13120	19245	CE1-susC-susD
MAG622	PUL10	gnl|HZI|MAG622_62	7094	12092	susD-susC
MAG622	PUL11	gnl|HZI|MAG622_8	26325	55944	GH105-susD-susC-unk-unk-GH3-unk-GH2-GH2-GH97-CE7-unk-unk-susD-susC
