genome	pulid	contigid	start	end	pattern
MAG654	PUL1	gnl|HZI|MAG654_1	44985	59217	susC-susD-unk-unk-unk-susD
MAG654	PUL2	gnl|HZI|MAG654_11	89797	94542	susD-susC
MAG654	PUL3	gnl|HZI|MAG654_12	73414	77834	susD-susC
MAG654	PUL4	gnl|HZI|MAG654_14	33023	52975	GH23-unk-unk-unk-unk-susC-unk-unk-susD-susC
MAG654	PUL5	gnl|HZI|MAG654_15	23325	28191	susD-susC
MAG654	PUL6	gnl|HZI|MAG654_18	14611	26137	susC-susD-unk-unk-susC
MAG654	PUL7	gnl|HZI|MAG654_18	45368	56563	GT8-GT2_Glycos_transf_2-unk-unk-unk-unk-susC-susD
MAG654	PUL8	gnl|HZI|MAG654_2	107029	114997	susD-susC-unk-CBM6
MAG654	PUL9	gnl|HZI|MAG654_21	15217	35825	GH10-GH43_1-GH67-unk-susC-susD-unk-unk-susC-susD
MAG654	PUL10	gnl|HZI|MAG654_22	24493	34155	susC-susD-unk-unk-unk-unk-GH125
MAG654	PUL11	gnl|HZI|MAG654_25	36517	44809	GH20-unk-susD-susC
MAG654	PUL12	gnl|HZI|MAG654_3	112828	117475	susD-susC
MAG654	PUL13	gnl|HZI|MAG654_35	17734	37778	susD-susC-unk-unk-susD-susC-unk-GH43_29;CBM6-unk-GH43_12
MAG654	PUL14	gnl|HZI|MAG654_6	89182	114848	susC-susD-unk-susC-unk-GH29-unk-unk-unk-unk-GH97
MAG654	PUL15	gnl|HZI|MAG654_8	94872	106461	susC-susD-unk-unk-susC
