genome	pulid	protein_id	contig	start	end	strand	dist	protein_name	sus	hmm	active
MAG603	PUL1	MAG603_00057	gnl|HZI|MAG603_1	79242	81941	+	0	MAG603_00057	susC		
MAG603	PUL1	MAG603_00058	gnl|HZI|MAG603_1	81954	83573	+	13	MAG603_00058	susD		
MAG603	PUL2	MAG603_01786	gnl|HZI|MAG603_123	912	3908	+	-82661	MAG603_01786	susC		
MAG603	PUL2	MAG603_01787	gnl|HZI|MAG603_123	3940	5607	+	32	MAG603_01787	susD		
MAG603	PUL3	MAG603_01825	gnl|HZI|MAG603_131	2523	4073	-	-3084	MAG603_01825	susD		
MAG603	PUL3	MAG603_01826	gnl|HZI|MAG603_131	4149	6011	-	76	MAG603_01826	susC		
MAG603	PUL4	MAG603_01061	gnl|HZI|MAG603_42	4103	7573	+	-1908	MAG603_01061	susC		
MAG603	PUL4	MAG603_01062	gnl|HZI|MAG603_42	7594	9630	+	21	MAG603_01062	susD		
MAG603	PUL4	MAG603_01063	gnl|HZI|MAG603_42	9640	11841	+	10	MAG603_01063			
MAG603	PUL4	MAG603_01064	gnl|HZI|MAG603_42	11870	13741	+	29	MAG603_01064			
MAG603	PUL4	MAG603_01065	gnl|HZI|MAG603_42	13850	17206	+	109	MAG603_01065	susC		
MAG603	PUL4	MAG603_01066	gnl|HZI|MAG603_42	17300	19516	+	94	MAG603_01066	susD		
MAG603	PUL5	MAG603_01232	gnl|HZI|MAG603_56	152	1879	+	-19364	MAG603_01232		GT83	
MAG603	PUL5	MAG603_01233	gnl|HZI|MAG603_56	1961	2332	+	82	MAG603_01233			
MAG603	PUL5	MAG603_01234	gnl|HZI|MAG603_56	2329	3285	+	-3	MAG603_01234		GT2_Glycos_transf_2	
MAG603	PUL5	MAG603_01235	gnl|HZI|MAG603_56	3386	5059	-	101	MAG603_01235	susD		
MAG603	PUL5	MAG603_01236	gnl|HZI|MAG603_56	5118	8150	-	59	MAG603_01236	susC		
