genome	pulid	contigid	start	end	pattern
MAG609	PUL1	gnl|HZI|MAG609_14	43773	54593	susC-susD-unk-unk-GH5_4
MAG609	PUL2	gnl|HZI|MAG609_16	26931	35813	susC-susD-unk-unk-susC
MAG609	PUL3	gnl|HZI|MAG609_2	84566	89123	susC-susD
MAG609	PUL4	gnl|HZI|MAG609_21	14412	35565	GH43_12-unk-GH5_21-susC-susD-susC-susD-unk-GH10
MAG609	PUL5	gnl|HZI|MAG609_23	5415	22165	susD-susC-unk-unk-unk-GH77-GH97-GH13_13-GH13
MAG609	PUL6	gnl|HZI|MAG609_23	27989	41881	susC-susD-susC-susD-GH43_4-GH43_5
MAG609	PUL7	gnl|HZI|MAG609_24	9887	30195	PL1;CBM77-susC-susD-unk-GH53-GH2-unk-unk-susC-susD
MAG609	PUL8	gnl|HZI|MAG609_25	250	12693	susD-susC-GH32-GH32-unk-GH32
MAG609	PUL9	gnl|HZI|MAG609_32	3913	8647	susD-susC
MAG609	PUL10	gnl|HZI|MAG609_4	44235	53277	susC-susD-unk-unk-GH16
MAG609	PUL11	gnl|HZI|MAG609_41	536	12300	susC-susD-unk-GH26-CE7-GH26-GH130
MAG609	PUL12	gnl|HZI|MAG609_42	12182	28810	GH2-GH20-unk-unk-unk-GH29-susC-susD
MAG609	PUL13	gnl|HZI|MAG609_48	12448	17349	susC-susD
MAG609	PUL14	gnl|HZI|MAG609_5	35568	40517	susC-susD
MAG609	PUL15	gnl|HZI|MAG609_55	5645	15356	GH3-unk-susD-susC-GH5_4
MAG609	PUL16	gnl|HZI|MAG609_65	401	14285	CE6;CE1-unk-susC-susD-GH8-unk-GH43_7-GH3
MAG609	PUL17	gnl|HZI|MAG609_68	1991	6748	susD-susC
MAG609	PUL18	gnl|HZI|MAG609_7	6208	10229	susD-susC
MAG609	PUL19	gnl|HZI|MAG609_70	1153	9918	CE8-susC-susD
MAG609	PUL20	gnl|HZI|MAG609_88	801	5580	susC-susD
MAG609	PUL21	gnl|HZI|MAG609_9	17268	22311	susC-susD
